1/12 7:45:22|ChromeRecordingHttpListener|dumpRequestHeaders|method called.
1/12 7:45:22|Utils|getURLTracker|urlString = http://172.24.1.4:1323/static/image/goimg.png, requestOrResponce = request
1/12 7:45:22|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673532922656
1/12 7:45:22|Utils|convertToSecond method called|time = 947.0
1/12 7:45:22|Utils|isSplit|Method called.
1/12 7:45:22|Utils|isSplit|Splitting for Ajax Header = false
1/12 7:45:22|Utils|isSplit|Splitting for method GET = false
1/12 7:45:22|Utils|isSplit|result = false
1/12 7:45:22|Utils|isSplitForTimeDiff|Method called.
1/12 7:45:22|Utils|isSplit|Splitting for time 0.020999999999999908 = false
1/12 7:45:22|Utils|isSplit|result = false
1/12 7:45:22|Utils|isSplitForURLType|Method called.
1/12 7:45:22|Utils|isSplitForURLType|value = false
1/12 7:45:22|Utils|isSplitForURLType|value = false
1/12 7:45:22|Utils|isSplit|isSplitForURLType = false
1/12 7:45:22|Utils|getURLTracker|urlString = http://172.24.1.4:1323/static/image/goimg.png, requestOrResponce = response
1/12 7:45:22|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673532922668
1/12 7:45:22|Utils|convertToSecond method called|time = 959.0
1/12 7:45:22|Utils|isSplit|Method called.
1/12 7:45:22|Utils|isSplit|Splitting for Ajax Header = false
1/12 7:45:22|Utils|isSplit|Splitting for method GET = false
1/12 7:45:22|Utils|isSplit|result = false
1/12 7:45:22|Utils|isSplitForTimeDiff|Method called.
1/12 7:45:22|Utils|isSplit|Splitting for time 0.020999999999999908 = false
1/12 7:45:22|Utils|isSplit|result = false
1/12 7:45:22|Utils|isSplitForURLType|Method called.
1/12 7:45:22|Utils|isSplitForURLType|value = false
1/12 7:45:22|Utils|isSplitForURLType|value = false
1/12 7:45:22|Utils|isSplitForURLType|value = false
1/12 7:45:22|Utils|isSplit|isSplitForURLType = false
1/12 7:45:22|ChromeRecordingHttpListener|checkSplitOptionAndCaptureSnapShotForResponse|Auto split option not valid for URL = http://172.24.1.4:1323/static/image/goimg.png
1/12 7:45:22|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673532922668
1/12 7:45:22|Utils|convertToSecond method called|time = 959.0
1/12 7:45:22|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673532922668
1/12 7:45:22|Utils|convertToSecond method called|time = 959.0
1/12 7:45:22|ChromeRecordingHttpListener|onCompleted |Adding dump diretory with path=C:\Users\kanhucharan.ghadai\Desktop\recorder\\scripts\workspace/admin/system/cavisson/default/default/scripts/Newsamplescript\dump\flow\172.24.1.4_1323/static/image/
1/12 7:45:24|Utils|getURLTracker|urlString = https://code.jquery.com/jquery-3.3.1.min.js, requestOrResponce = response
1/12 7:45:24|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673532924977
1/12 7:45:24|Utils|convertToSecond method called|time = 3268.0
1/12 7:45:24|Utils|isSplit|Method called.
1/12 7:45:24|Utils|isSplit|Splitting for Ajax Header = false
1/12 7:45:24|Utils|isSplit|Splitting for method GET = false
1/12 7:45:24|Utils|isSplit|result = false
1/12 7:45:24|Utils|isSplitForTimeDiff|Method called.
1/12 7:45:24|Utils|isSplit|Splitting for time -0.09299999999999997 = false
1/12 7:45:24|Utils|isSplit|result = false
1/12 7:45:24|Utils|isSplitForURLType|Method called.
1/12 7:45:24|Utils|isSplitForURLType|value = false
1/12 7:45:24|Utils|isSplitForURLType|value = false
1/12 7:45:24|Utils|isSplitForURLType|value = false
1/12 7:45:24|Utils|isSplit|isSplitForURLType = false
1/12 7:45:24|ChromeRecordingHttpListener|checkSplitOptionAndCaptureSnapShotForResponse|Auto split option not valid for URL = https://code.jquery.com/jquery-3.3.1.min.js
1/12 7:45:24|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673532924977
1/12 7:45:24|Utils|convertToSecond method called|time = 3268.0
1/12 7:45:24|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673532924977
1/12 7:45:24|Utils|convertToSecond method called|time = 3268.0
