1/13 3:17:23|Utils|isSplit|isSplitForURLType = false
1/13 3:17:23|ChromeRecordingHttpListener|checkSplitOptionAndCaptureSnapShotForResponse|Auto split option not valid for URL = http://172.24.1.4:8086/26.c9f12339d6.js
1/13 3:17:23|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673603243168
1/13 3:17:23|Utils|convertToSecond method called|time = 2280.0
1/13 3:17:23|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673603243168
1/13 3:17:23|Utils|convertToSecond method called|time = 2280.0
1/13 3:17:23|Utils|getURLTracker|urlString = http://172.24.1.4:8086/600ef94c90.wasm, requestOrResponce = response
1/13 3:17:23|Utils|getURLTracker|Response comes after the frame is loaded. urlString = http://172.24.1.4:8086/600ef94c90.wasm
1/13 3:17:23|Utils|getURLTracker|The Url is already seen. http://172.24.1.4:8086/600ef94c90.wasm
1/13 3:17:23|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673603243199
1/13 3:17:23|Utils|convertToSecond method called|time = 2311.0
1/13 3:17:23|Utils|isSplit|Method called.
1/13 3:17:23|Utils|isSplit|Splitting for Ajax Header = false
1/13 3:17:23|Utils|isSplit|Splitting for method GET = false
1/13 3:17:23|Utils|isSplit|result = false
1/13 3:17:23|Utils|isSplitForTimeDiff|Method called.
1/13 3:17:23|Utils|isSplit|Splitting for time -0.1629999999999998 = false
1/13 3:17:23|Utils|isSplit|result = false
1/13 3:17:23|Utils|isSplitForURLType|Method called.
1/13 3:17:23|Utils|isSplitForURLType|value = false
1/13 3:17:23|Utils|isSplitForURLType|value = false
1/13 3:17:23|Utils|isSplitForURLType|value = false
1/13 3:17:23|Utils|isSplit|isSplitForURLType = false
1/13 3:17:23|ChromeRecordingHttpListener|checkSplitOptionAndCaptureSnapShotForResponse|Auto split option not valid for URL = http://172.24.1.4:8086/600ef94c90.wasm
1/13 3:17:23|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673603243199
1/13 3:17:23|Utils|convertToSecond method called|time = 2311.0
1/13 3:17:23|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673603243199
1/13 3:17:23|Utils|convertToSecond method called|time = 2311.0
1/13 3:17:23|ChromeRecordingHttpListener|onCompleted |Adding dump diretory with path=C:\Users\kanhucharan.ghadai\Desktop\recorder\\scripts\workspace/admin/system/cavisson/default/default/scripts/Shortinfluxscript\dump\flow\172.24.1.4_8086/
1/13 3:17:24|ChromeRecordingHttpListener|onCompleted |Adding dump diretory with path=C:\Users\kanhucharan.ghadai\Desktop\recorder\\scripts\workspace/admin/system/cavisson/default/default/scripts/Shortinfluxscript\dump\flow\172.24.1.4_8086/
1/13 3:17:24|ProgressBar|setVisible|Method Called. bool = false
1/13 3:17:24|ChromeRecordingHttpListener|onBeforeURLRequest|method called.
1/13 3:17:24|ChromeRecordingHttpListener|onBeforeSendHeaders for url = http://172.24.1.4:8086/favicon.ico|method called.
1/13 3:17:24|ChromeRecordingHttpListener|dumpRequestHeaders|method called.
1/13 3:17:24|Utils|getURLTracker|urlString = http://172.24.1.4:8086/favicon.ico, requestOrResponce = request
1/13 3:17:24|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673603244292
1/13 3:17:24|Utils|convertToSecond method called|time = 3404.0
1/13 3:17:24|Utils|isSplit|Method called.
1/13 3:17:24|Utils|isSplit|Splitting for Ajax Header = false
1/13 3:17:24|Utils|isSplit|Splitting for method GET = false
1/13 3:17:24|Utils|isSplit|result = false
1/13 3:17:24|Utils|isSplitForTimeDiff|Method called.
1/13 3:17:24|Utils|isSplit|Splitting for time 1.093 = false
1/13 3:17:24|Utils|isSplit|result = false
1/13 3:17:24|Utils|isSplitForURLType|Method called.
1/13 3:17:24|Utils|isSplitForURLType|value = false
1/13 3:17:24|Utils|isSplitForURLType|value = false
